"","Site","SampleID","Sex","Family","Morphospecies","X","Size","Habitat","Period","SiteID"
"877","2L",1110,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"4"
"878","2L",1848,"","Colletidae","Colletes spp.","","Medium","Soil",2,"4"
"879","2L",1691,"","Halictidae","Lasioglossum zonulum","","Small","Soil",1,"4"
"880","2L",2111,"","Halictidae","Lasioglossum anomalum","","Small","Soil",3,"4"
"881","2L",1018,"F","Apidae","Apis mellifera","","Large","Hive",2,"4"
"882","2L",2324,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"4"
"883","2L",1826,"","Colletidae","Colletes spp.","","Medium","Soil",1,"4"
"884","2L",1830,"","Colletidae","Colletes spp.","","Medium","Soil",1,"4"
"885","2L",2273,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",1,"4"
"886","2L",2326,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"887","2L",1630,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"4"
"888","2L",1296,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"4"
"889","2L",2173,"","Halictidae","Lasioglossum anomalum","","Small","Soil",2,"4"
"890","2L",1121,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"4"
"891","2L",1176,"F","Apidae","Ceratina dupla","","Small","Wood",2,"4"
"892","2L",1109,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"4"
"893","2L",1218,"M","Apidae","Ceratina dupla","","Small","Wood",2,"4"
"894","2L",2284,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",3,"4"
"895","2L",1045,"F","Apidae","Apis mellifera","","Large","Hive",6,"4"
"896","2L",2285,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"897","2L",1005,"F","Apidae","Apis mellifera","","Large","Hive",2,"4"
"898","2L",1882,"","Halictidae","Lasioglossum paraforbesii","","Medium","Soil",4,"4"
"899","2L",2298,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"900","2L",1684,"","Halictidae","Andrena nigrae","Male","Small","Soil",2,"4"
"901","2L",1860,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"4"
"902","2L",2147,"","Halictidae","Lasioglossum imatatum","","Small","Soil",2,"4"
"903","2L",1821,"","Colletidae","Colletes spp.","","Medium","Soil",1,"4"
"904","2L",1756,"","Megachilidae","Megachile mendica","Female","Medium","Wood",4,"4"
"905","2L",1795,"","Megachilidae","Stelis nitida","Male","Medium","Wood",3,"4"
"906","2L",1187,"F","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"907","2L",2295,"","Colletidae","Hylaeus rudbeckiae","Male","tiny","Wood",1,"4"
"908","2L",1782,"","Megachilidae","Stelis nitida","Male","Medium","Wood",6,"4"
"909","2L",1127,"F","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"910","2L",1489,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"4"
"911","2L",1209,"M","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"912","2L",2313,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"4"
"913","2L",1142,"F","Apidae","Ceratina calcarata","","Small","Wood",6,"4"
"914","2L",1427,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"4"
"915","2L",1700,"","Halictidae","Halictus ligatus","Female","Small","Soil",5,"4"
"916","2L",1484,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"4"
"917","2L",2130,"","Halictidae","Lasioglossum bruneri","","Small","Soil",2,"4"
"918","2L",2279,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"919","2L",1188,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"4"
"920","2L",1297,"M","Apidae","Melissodes agilis","Melissodes C – orange thorax fuzz, striped abdomen (orangeish)","Large","Soil",6,"4"
"921","2L",2323,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"922","2L",2202,"","Halictidae","Lasioglossum cattelae","","Small","Soil",1,"4"
"923","2L",2210,"","Halictidae","Unk. Bee – partial specimen","","Small","Soil",1,"4"
"924","2L",1044,"F","Apidae","Apis mellifera","","Large","Hive",5,"4"
"925","2L",2361,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"4"
"926","2L",2304,"","Colletidae","Hylaeus mesillae","Male","tiny","Wood",1,"4"
"927","2L",1172,"F","Apidae","Ceratina dupla","","Small","Wood",1,"4"
"928","2L",1173,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"4"
"929","2L",2290,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"4"
"930","2L",2340,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"4"
"931","2L",1407,"","Halictidae","Augochlorella aurata","","Medium","Soil",2,"4"
"932","2L",2312,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",2,"4"
"933","2L",1165,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"4"
"934","3H",1949,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"6"
"935","3H",2228,"F","Apidae","Ceratina dupla","","Small","Wood",2,"6"
"936","3H",1290,"F","Apidae","Melissodes trinodis","Melissodes A – trinoids? Orange thorax, white light stripes lower abd especially","Large","Soil",4,"6"
"937","3H",1807,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",5,"6"
"938","3H",1421,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"6"
"939","3H",1843,"","Colletidae","Colletes spp.","","Medium","Soil",5,"6"
"940","3H",2223,"","Halictidae","Lasioglossum taylorae","","Small","Soil",1,"6"
"941","3H",1185,"F","Apidae","Ceratina dupla","","Small","Wood",6,"6"
"942","3H",2155,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"6"
"943","3H",2052,"","Halictidae","Lasioglossum obscurum","","Small","Soil",4,"6"
"944","3H",1628,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"6"
"945","3H",1191,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"6"
"946","3H",2074,"","Halictidae","Lasioglossum taylorae","","Small","Soil",1,"6"
"947","3H",2119,"","Halictidae","Lasioglossum atwoodi","","Small","Soil",3,"6"
"948","3H",1149,"F","Apidae","Ceratina dupla","","Small","Wood",5,"6"
"949","3L",1736,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",5,"5"
"950","3L",1533,"","Andrenidae","Andrena bisalicis","","Large","Soil",2,"5"
"951","3L",1670,"","Halictidae","Halictus ligatus","Female","Small","Soil",5,"5"
"952","3L",1669,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"5"
"953","3L",1531,"","Andrenidae","Andrena bisalicis","","Large","Soil",1,"5"
"954","3L",1616,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"5"
"955","3L",1668,"","Halictidae","Halictus ligatus","Female","Medium","Soil",2,"5"
"956","3L",1104,"F","Apidae","Bombus sandersoni","","Large","Cavity",5,"5"
"957","3L",1546,"","Andrenidae","Andrena nasonii","Female","Small","Soil",1,"5"
"958","3L",1051,"F","Apidae","Apis mellifera","","Large","Hive",5,"5"
"959","3L",1470,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"5"
"960","3L",1061,"F","Apidae","Apis mellifera","","Large","Hive",6,"5"
"961","3L",1624,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"5"
"962","3L",2022,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",5,"5"
"963","3L",2053,"","Halictidae","Lasioglossum taylorae","","Small","Soil",4,"5"
"964","3L",2073,"","Halictidae","Lasioglossum bruneri","","Small","Soil",5,"5"
"965","3L",1904,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"5"
"966","3L",1693,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"5"
"967","3L",2098,"","Halictidae","Lasioglossum divergens","","Small","Soil",5,"5"
"968","3L",1488,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"5"
"969","3L",1724,"","Megachilidae","Megachile melanophoea","","Medium","Wood",1,"5"
"970","3L",1077,"F","Apidae","Bombus impatience","","Large","Cavity",5,"5"
"971","3L",1948,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"5"
"972","3L",1129,"F","Apidae","Ceratina strenua","","Small","Wood",2,"5"
"973","3L",1085,"F","Apidae","Bombus impatience","","Large","Cavity",6,"5"
"974","3L",2183,"","Halictidae","Lasioglossum versans","","Small","Soil",2,"5"
"975","3L",1925,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"5"
"976","3L",1481,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"5"
"977","3L",1989,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",2,"5"
"978","3L",1678,"","Halictidae","Halictus ligatus","Female","Small","Soil",6,"5"
"979","3L",2153,"","Halictidae","Lasioglossum ellisiae","","Small","Soil",5,"5"
"980","3L",2189,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"5"
"981","3L",1944,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"5"
"982","3L",2011,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",5,"5"
"983","3L",1929,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"5"
"984","3L",1888,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"5"
"985","4H",2018,"","Halictidae","Lasioglossum tegulare","","Small","Soil",5,"8"
"986","4H",1697,"","Halictidae","Hylaeus unk sp.","Female","Small","Soil",5,"8"
"987","4H",1737,"","Megachilidae","Megachile mendica","Female","Medium","Wood",2,"8"
"988","4H",1738,"","Megachilidae","Megachile mendica","Female","Medium","Wood",3,"8"
"989","4H",1672,"","Halictidae","Halictus ligatus","Female","Small","Soil",1,"8"
"990","4H",1809,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",5,"8"
"991","4H",1159,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"8"
"992","4H",1762,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",1,"8"
"993","4H",1128,"F","Apidae","Ceratina dupla","","Small","Wood",2,"8"
"994","4H",2216,"","Halictidae","Lasioglossum cressonii","","Small","Wood",1,"8"
"995","4H",2253,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"8"
"996","4H",2254,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"8"
"997","4H",1829,"","Colletidae","Colletes spp.","","Medium","Soil",1,"8"
"998","4H",1075,"F","Apidae","Bombus impatience","","Large","Cavity",6,"8"
"999","4H",1659,"","Halictidae","Halictus ligatus","Female","Medium","Soil",2,"8"
"1000","4H",1825,"","Colletidae","Colletes spp.","","Medium","Soil",1,"8"
"1001","4H",1649,"","Halictidae","Halictus ligatus","Female","Medium","Soil",5,"8"
"1002","4H",1162,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"8"
"1003","4H",2293,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"8"
"1004","4H",2088,"","Halictidae","Lasioglossum atwoodi","","Small","Soil",5,"8"
"1005","4H",1072,"F","Apidae","Bombus impatience","","Large","Cavity",5,"8"
"1006","4H",1824,"","Colletidae","Colletes spp.","","Medium","Soil",1,"8"
"1007","4H",2301,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"8"
"1008","4H",1097,"F","Apidae","Bombus rufosphinctus","","Large","Cavity",3,"8"
"1009","4H",1547,"","Andrenidae","Andrena erythronii","","Small","Soil",1,"8"
"1010","4H",2205,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",1,"8"
"1011","4H",1827,"","Colletidae","Colletes spp.","","Medium","Soil",2,"8"
"1012","4H",1249,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"8"
"1013","4H",2309,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"8"
"1014","4H",1646,"","Halictidae","Halictus ligatus","Female","Medium","Soil",2,"8"
"1015","4H",1766,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",2,"8"
"1016","4H",2194,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"8"
"1017","4H",1422,"","Halictidae","Augochlorella aurata","","Medium","Soil",1,"8"
"1018","4H",1177,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"8"
"1019","4H",2321,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"8"
"1020","4H",1786,"","Megachilidae","Stelis nitida","Female","Medium","Wood",2,"8"
"1021","4H",2306,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"8"
"1022","4H",1070,"F","Apidae","Bombus impatience","","Large","Cavity",5,"8"
"1023","4H",2329,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",6,"8"
"1024","4H",1386,"","Halictidae","Augochloropsis fulgada/metallica","","Medium","Soil",1,"8"
"1025","4H",2363,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"8"
"1026","4H",1160,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"8"
"1027","4H",2281,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"8"
"1028","4H",2025,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"8"
"1029","4H",1835,"","Colletidae","Colletes spp.","","Medium","Soil",1,"8"
"1030","4H",1108,"F","Apidae","Ceratina mikmaqi","","Small","Wood",1,"8"
"1031","4H",1741,"","Megachilidae","Megachile mendica","Female","Medium","Wood",3,"8"
"1032","4H",1217,"M","Apidae","Ceratina dupla","","Small","Wood",1,"8"
"1033","4H",1106,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"8"
"1034","4H",1834,"","Colletidae","Colletes spp.","","Medium","Soil",1,"8"
"1035","4H",1765,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",6,"8"
"1036","4H",1192,"F","Apidae","Ceratina dupla","","Small","Wood",2,"8"
"1037","4H",1753,"","Megachilidae","Megachile mendica","Female","Medium","Wood",1,"8"
"1038","4H",1174,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"8"
"1039","4H",1874,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",1,"8"
"1040","4H",1388,"","Halictidae","Augochloropsis fulgada/metallica","","Medium","Soil",2,"8"
"1041","4L",2206,"","Halictidae","Lasioglossum spp.","","Small","Soil",1,"7"
"1042","4L",2034,"","Halictidae","Lasioglossum bruneri","","Small","Soil",1,"7"
"1043","4L",2328,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",1,"7"
"1044","4L",1858,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",1,"7"
"1045","4L",2080,"","Halictidae","Lasioglossum obscurum","","Small","Soil",1,"7"
"1046","4L",1161,"F","Apidae","Ceratina dupla","","Small","Wood",1,"7"
"1047","4L",2090,"","Halictidae","Lasioglossum taylorae","","Small","Soil",3,"7"
"1048","4L",1089,"F","Apidae","Bombus impatience","","Large","Cavity",1,"7"
"1049","4L",1903,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"7"
"1050","4L",2037,"","Halictidae","Lasioglossum spp.","","Small","Soil",1,"7"
"1051","4L",1190,"F","Apidae","Ceratina dupla","","Small","Wood",1,"7"
"1052","5H",1034,"F","Apidae","Apis mellifera","","Large","Hive",4,"9"
"1053","5H",1886,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",3,"9"
"1054","5H",2366,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"9"
"1055","5H",2082,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"9"
"1056","5H",2360,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"9"
"1057","5H",2067,"","Halictidae","Lasioglossum ellisiae","","Small","Soil",5,"9"
"1058","5H",1618,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"9"
"1059","5H",1458,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"9"
"1060","5H",1291,"F","Apidae","Melissodes trinodis","Melissodes A – trinoids? Orange thorax, white light stripes lower abd especially","Large","Soil",5,"9"
"1061","5H",1642,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"9"
"1062","5L",1610,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"10"
"1063","5L",2015,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"10"
"1064","5L",1133,"F","Apidae","Ceratina dupla","","Small","Wood",1,"10"
"1065","5L",1889,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"10"
"1066","5L",1923,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",3,"10"
"1067","5L",1698,"","Halictidae","Hylaeus unk sp.","Female","Small","Soil",5,"10"
"1068","5L",1838,"","Colletidae","Colletes spp.","","Medium","Soil",3,"10"
"1069","5L",1087,"F","Apidae","Bombus impatience","","Large","Cavity",5,"10"
"1070","5L",1082,"F","Apidae","Bombus impatience","","Large","Cavity",6,"10"
"1071","5L",1873,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"10"
"1072","5L",2060,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"10"
"1073","5L",1095,"F","Apidae","Bombus bimaculatus","","Large","Cavity",4,"10"
"1074","5L",1269,"F","Apidae","Melissodes bimaculatus","","Large","Soil",6,"10"
"1075","5L",1450,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"10"
"1076","5L",1046,"F","Apidae","Apis mellifera","","Large","Hive",6,"10"
"1077","5L",2087,"","Halictidae","Lasioglossum obscurum","","Small","Soil",3,"10"
"1078","5L",1831,"","Colletidae","Colletes spp.","","Medium","Soil",2,"10"
"1079","5L",2141,"","Halictidae","Lasioglossum anomalum","","Small","Soil",4,"10"
"1080","5L",1384,"","Halictidae","Agapostemon sericeus","","Medium","Soil",5,"10"
"1081","5L",1818,"","Colletidae","Colletes spp.","","Medium","Soil",5,"10"
"1082","5L",1878,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"10"
"1083","5L",2066,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",4,"10"
"1084","5L",1021,"F","Apidae","Apis mellifera","","Large","Hive",2,"10"
"1085","5L",1879,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"10"
"1086","5L",1452,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"10"
"1087","5L",1622,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"10"
"1088","5L",1850,"","Colletidae","Colletes spp.","","Medium","Soil",2,"10"
"1089","5L",1507,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"10"
"1090","5L",1048,"F","Apidae","Apis mellifera","","Large","Hive",5,"10"
"1091","5L",1679,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"10"
"1092","5L",1596,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"10"
"1093","5L",1606,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"10"
"1094","5L",1454,"M","Halictidae","Agapostemon virescens","","Medium","Soil",6,"10"
"1095","5L",1602,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"10"
"1096","5L",1058,"F","Apidae","Apis mellifera","","Large","Hive",6,"10"
"1097","5L",1865,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"10"
"1098","5L",1503,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"10"
"1099","5L",1876,"","Halictidae","Lasioglossum zonulum","","Medium","Soil",3,"10"
"1100","5L",2038,"","Halictidae","Lasioglossum bruneri","","Small","Soil",1,"10"
"1101","5L",1997,"","Halictidae","Lasioglossum bruneri","","Small","Soil",4,"10"
"1102","5L",1955,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"10"
"1103","5L",1954,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"10"
"1104","6H",1964,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"11"
"1105","6H",1814,"","Colletidae","Colletes spp.","","Medium","Soil",6,"11"
"1106","6H",1004,"F","Apidae","Apis mellifera","","Large","Hive",5,"11"
"1107","6H",2322,"","Colletidae","Hylaeus affinus","Male","tiny","Wood",1,"11"
"1108","6H",1569,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"11"
"1109","6H",1864,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"11"
"1110","6H",1900,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"11"
"1111","6H",1844,"","Colletidae","Colletes spp.","","Medium","Soil",6,"11"
"1112","6H",2028,"","Halictidae","Lasioglossum coreopsis","","Small","Soil",3,"11"
"1113","6H",2069,"","Halictidae","Lasioglossum spp.","","Small","Soil",1,"11"
"1114","6H",1633,"","Halictidae","Halictus rubicundus","","Medium","Soil",4,"11"
"1115","6H",1861,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"11"
"1116","6H",2129,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",2,"11"
"1117","6H",1688,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"11"
"1118","6H",2277,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"11"
"1119","6H",1551,"","Andrenidae","Andrena crataegi","Female","Small","Soil",1,"11"
"1120","6H",1930,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"11"
"1121","6L",1828,"","Colletidae","Colletes spp.","","Medium","Soil",2,"12"
"1122","6L",1181,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1123","6L",1114,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1124","6L",2046,"","Halictidae","Lasioglossum bruneri","","Small","Soil",2,"12"
"1125","6L",1717,"","Halictidae","Andrena medium/sm unk sp","Male","Small","Soil",2,"12"
"1126","6L",1141,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1127","6L",1196,"F","Apidae","Ceratina dupla","","Small","Wood",2,"12"
"1128","6L",1119,"F","Apidae","Ceratina mikmaqi","","Small","Wood",2,"12"
"1129","6L",1853,"","Megachilidae","Osmia sp","","Medium","Wood",2,"12"
"1130","6L",1112,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1131","6L",1184,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1132","6L",1111,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1133","6L",2353,"","Halictidae","Augochlorella sp.","","small","Wood",5,"12"
"1134","6L",1625,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1135","6L",1502,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1136","6L",1131,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1137","6L",1594,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1138","6L",1115,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1139","6L",1501,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1140","6L",1113,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1141","6L",1183,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1142","6L",1022,"F","Apidae","Apis mellifera","","Large","Hive",2,"12"
"1143","6L",1153,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1144","6L",1195,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1145","6L",1916,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"12"
"1146","6L",1168,"F","Apidae","Ceratina dupla","","Small","Wood",2,"12"
"1147","6L",1198,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1148","6L",1140,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1149","6L",1478,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1150","6L",1155,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1151","6L",1197,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1152","6L",1116,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1153","6L",1627,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1154","6L",1120,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1155","6L",1163,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1156","6L",1465,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1157","6L",1595,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1158","6L",1206,"F","Apidae","Ceratina strenua","","Small","Wood",2,"12"
"1159","6L",1145,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1160","6L",1939,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"12"
"1161","6L",1492,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1162","6L",1169,"F","Apidae","Ceratina dupla","","Small","Wood",2,"12"
"1163","6L",1552,"","Andrenidae","Andrena wellesleyana","","Small","Soil",1,"12"
"1164","6L",1175,"F","Apidae","Ceratina calcarata","","Small","Wood",2,"12"
"1165","6L",1674,"","Halictidae","Andrena crataegi","Female","Small","Soil",1,"12"
"1166","6L",1511,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1167","6L",1213,"M","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1168","6L",1486,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1169","6L",1626,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1170","6L",1520,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1171","6L",1107,"F","Apidae","Ceratina mikmaqi","","Small","Wood",1,"12"
"1172","6L",1268,"F","Apidae","Melissodes bimaculatus","","Large","Soil",6,"12"
"1173","6L",1189,"F","Apidae","Ceratina dupla","","Small","Wood",1,"12"
"1174","6L",1144,"F","Apidae","Ceratina calcarata","","Small","Wood",1,"12"
"1175","6L",1500,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"12"
"1176","7H",1655,"","Halictidae","Halictus ligatus","Female","Medium","Soil",2,"14"
"1177","7H",1368,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"14"
"1178","7H",1965,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"14"
"1179","7H",1966,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"14"
"1180","7H",1898,"","Halictidae","Lasioglossum paraforbesii","","Medium","Soil",6,"14"
"1181","7H",1312,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"14"
"1182","7H",1909,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"14"
"1183","7H",1493,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"14"
"1184","7H",1007,"F","Apidae","Apis mellifera","","Large","Hive",5,"14"
"1185","7H",1487,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"14"
"1186","7H",2044,"","Halictidae","Lasioglossum pruinosum","","Small","Soil",5,"14"
"1187","7H",1866,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"14"
"1188","7H",1811,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"14"
"1189","7H",1006,"F","Apidae","Apis mellifera","","Large","Hive",5,"14"
"1190","7H",1003,"F","Apidae","Apis mellifera","","Large","Hive",5,"14"
"1191","7H",1791,"","Megachilidae","Anthidium maculifrons","","Medium","Wood",6,"14"
"1192","7H",2081,"","Halictidae","Lasioglossum spp.","","Small","Soil",4,"14"
"1193","7H",1911,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"14"
"1194","7H",1091,"F","Apidae","Bombus impatience","","Large","Cavity",4,"14"
"1195","7H",1301,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",4,"14"
